Site,Adult.Seedling,Elevation.code,Species,Individual.code,Lat.DD,Long.DD,Collection.date,Collection.day,Elevation,Soil.temp.1,Soil.temp.2,Soil.temp.3,Soil.temp.mean,Soil.temp.SD,Soil.mois.1,Soil.mois.2,Soil.mois.3,Soil.mois.mean,Soil.mois.SD,No.leaves,No.cot,Height.cm,Height.mm,Width.mm,Stem.volume.mm3,Stem.volume.cm3,Stem.thick.per.height,L.time,L.temp,L.light,QPSII,D.time,D.temp,D.light,D.FvFm,Canopy.open.per,LAI.4.ring,SPAD.1,SPAD.2,SPAD.3,SPAD.mean,SPAD.SD,Leaf.thick.1.mm,Leaf.thick.2.mm,Leaf.thick.3.mm,Leaf.thick.mean.mm,Leaf.thick.SD,Leaf.mass.fresh.g,Leaf.mass.FAA.g,Leaf.mass.dry.g,Leaf.area,Comp.Y.N.,Comp.seed.same.sp,Comp.seed.diff.sp,Comp.seed.total,Comp.adult.total,Comp.adult.metric,Comp.adult.log.metric,Height.leaf.ratio
PA1,Seedling,Bottom,ID,465,-12.65483333,-71.23547222,23/08/2015,32,411,26.1,26.3,26.2,26.2,0.1,15.9,16.8,20,17.56666667,2.154839515,3,0,16,160,3.017,1143.82737,1.14382737,0.1885625,07:57:00,24.2,1,0.74875208,08:26,26,0,0.741509434,5.75,3.38,56.5,57,55.1,56.2,0.98488578,0.244,0.304,0.203,0.250333333,0.050796982,0.836,0.836,NA,77.773,Y,0,22,22,5,33.6351311,1.526793125,0.1875
PA1,Seedling,Bottom,ID,463,-12.65491667,-71.23527778,23/08/2015,32,411,26.4,26.3,26.3,26.33333333,0.057735,22.8,22.1,24.9,23.26666667,1.4571662,3,0,15,150,2.912,998.9963046,0.998996305,0.194133333,07:59:00,24.4,2,0.719360568,08:34,25.8,0,0.722413793,6.21,3.38,58.2,56.6,58.7,57.83333333,1.096965511,0.23,0.211,0.199,0.213333333,0.015631165,0.732,0.629,NA,79.984,N,NA,NA,NA,NA,NA,NA,0.2
PA1,Seedling,Bottom,ID,461,-12.65533333,-71.23394444,23/08/2015,32,412,25.5,25.8,25.9,25.73333333,0.208167,17.4,19.1,19.8,18.76666667,1.234233905,4,0,26,260,3.52,2530.163325,2.530163325,0.135384615,08:02:00,24.3,1,0.721590909,08:41,25.7,0,0.731060606,5.93,3.5,58.6,57.5,54,56.7,2.40208243,0.205,0.228,0.221,0.218,0.011789826,0.943,0.751,NA,96.199,Y,0,17,17,4,29.05341601,1.463197203,0.153846154
PA1,Seedling,Bottom,ID,464,-12.65488889,-71.23530556,23/08/2015,32,413,25.7,25.8,26.2,25.9,0.264575,16.1,23.3,26,21.8,5.117616633,2,0,16,160,2.588,841.6633338,0.841663334,0.16175,07:58:00,24.1,1,0.747763864,08:31,25.7,0,0.763537906,5.55,3.42,56.8,60.1,58.1,58.33333333,1.662327685,0.225,0.244,0.191,0.22,0.026851443,0.589,0.479,NA,110.87,N,NA,NA,NA,NA,NA,NA,0.125
PA1,Seedling,Bottom,ID,455,-12.65552778,-71.23369444,23/08/2015,32,415,27.7,26.1,26.3,26.7,0.87178,26.1,28.9,27.3,27.43333333,1.404753834,2,0,11,110,3.105,832.9247661,0.832924766,0.282272727,08:10:00,24.7,5,0.71278826,08:55,25.7,0,0.725338491,5.47,3.45,38.7,46.3,40.8,41.93333333,3.924708057,0.189,0.225,0.172,0.195333333,0.027061658,0.595,0.697,NA,54.541,Y,0,28,28,4,16.94608333,1.229069338,0.181818182
PA2,Seedling,Bottom,MS,428,-12.63927778,-71.27375,20/08/2015,29,780,21.8,22,22.2,22,0.2,42.5,18.6,37.5,32.86666667,12.60568655,24,0,28,280,1.536,518.8362887,0.518836289,0.054857143,10:03:00,23.7,13,0.737637363,10:38:00,25.5,0,0.846106683,4,4.32,41.1,40.9,43.8,41.93333333,1.619670748,0.137,0.135,0.132,0.134666667,0.002516611,0.165,NA,NA,70.258,Y,3,27,30,3,8.338886206,0.921108047,0.857142857
PA2,Seedling,Bottom,MS,430,-12.63938889,-71.27377778,20/08/2015,29,788,22.2,22.1,22,22.1,0.1,29.3,40.2,40.7,36.73333333,6.442308075,7,0,18,180,0.802,90.93082325,0.090930823,0.044555556,10:05:00,23.7,15,0.7265892,10:42:00,25.3,0,0.757225434,5.7,3.93,45.7,46.8,46,46.16666667,0.56862407,0.12,0.12,0.127,0.122333333,0.004041452,NA,0.094,NA,81.926,N,NA,NA,NA,NA,NA,NA,0.388888889
PA2,Seedling,Bottom,MS,434,-12.63941667,-71.27388889,20/08/2015,29,800,22.1,22.2,22.2,22.16666667,0.057735,36.2,37.1,40.3,37.86666667,2.154839515,17,0,20,200,0.824,106.6533007,0.106653301,0.0412,12:34:00,24.7,4,0.724082935,13:09:00,25.3,0,0.649122807,8.35,3.14,29.7,40.6,39.8,36.7,6.075360072,0.112,0.117,0.111,0.113333333,0.00321455,0.014,NA,NA,2.284,N,NA,NA,NA,NA,NA,NA,0.85
PA2,Seedling,Bottom,MS,435,-12.63941667,-71.27388889,20/08/2015,29,800,22.1,22.2,22.2,22.16666667,0.057735,36.2,37.1,40.3,37.86666667,2.154839515,14,0,15,150,0.953,106.9958521,0.106995852,0.063533333,12:37:00,24.9,9,0.732329843,13:12:00,25.9,0,0.657666345,8.35,3.14,41.6,43.9,40.1,41.86666667,1.913983629,0.116,0.119,0.116,0.117,0.001732051,0.042,NA,NA,1.616,N,NA,NA,NA,NA,NA,NA,0.933333333
PA2,Seedling,Bottom,MS,436,-12.63941667,-71.27386111,20/08/2015,29,800,22.2,22.5,22.3,22.33333333,0.152753,41.4,30.7,19.4,30.5,11.00136355,7,0,17,170,1.155,178.1159334,0.178115933,0.067941176,12:38:00,25,32,0.68255132,13:14:00,26.7,0,0.720652174,7.93,3.51,34.3,37.8,37.4,36.5,1.915724406,0.102,0.105,0.104,0.103666667,0.001527525,NA,0.025,NA,2.159,N,NA,NA,NA,NA,NA,NA,0.411764706
PA2,Seedling,Bottom,MS,427,-12.63886111,-71.27441667,20/08/2015,29,823,22.2,22.2,22.1,22.16666667,0.057735,29.4,21.9,25.5,25.6,3.750999867,33,0,30,300,1.776,743.1852112,0.743185211,0.0592,09:59:00,25,60,0.516358464,10:33:00,25,0,0.731514716,6.84,3.04,41.7,43.4,41.8,42.3,0.953939201,0.126,0.126,0.134,0.128666667,0.004618802,0.07,NA,NA,2.789,Y,0,53,53,5,16.88667474,1.227544138,1.1
PA2,Seedling,Bottom,MS,423,-12.63833333,-71.27511111,20/08/2015,29,831,21.9,22.1,22.1,22.03333333,0.11547,25.9,20.4,16.4,20.9,4.769696007,11,0,21,210,2.76,1256.3983,1.2563983,0.131428571,09:56:00,23.6,5,0.725961538,10:29:00,25.4,0,0.748184019,4.76,3.44,31.1,32.4,32.2,31.9,0.7,0.132,0.137,0.137,0.135333333,0.002886751,NA,0.023,NA,6.153,Y,4,40,44,4,16.83642389,1.226249852,0.523809524
PA2,Seedling,Bottom,MS,421,-12.63844444,-71.27508333,20/08/2015,29,832,22.1,22.2,22.2,22.16666667,0.057735,30.3,17.9,18.9,22.36666667,6.888637988,58,0,27,270,1.162,286.3293726,0.286329373,0.043037037,09:54:00,23.7,14,0.738159675,10:26:00,24.8,0,0.747561675,6.26,3.14,38.5,37.2,38.2,37.96666667,0.680685929,0.119,0.119,0.117,0.118333333,0.001154701,0.069,NA,NA,13.875,Y,1,32,33,5,21.57144021,1.333879142,2.148148148
PA2,Seedling,Bottom,MS,422,-12.63841667,-71.27511111,20/08/2015,29,832,22.1,22.1,22.2,22.13333333,0.057735,17.6,29,16.8,21.13333333,6.824465791,11,0,18,180,2.213,692.3492313,0.692349231,0.122944444,09:55:00,23.4,3,0.75,10:27:00,25,0,0.757617729,6.26,3.14,32.8,31.9,34.6,33.1,1.374772708,0.16,0.159,0.163,0.160666667,0.002081666,NA,0.09,NA,4.416,Y,4,66,70,4,23.97228634,1.379709457,0.611111111
VC1,Seedling,Top,ID,415,-12.86858333,-71.40547222,17/08/2015,26,837,22.2,22.2,22.2,22.2,0,23.9,32.4,14.8,23.7,8.80170438,2,0,15,150,3.333,1308.735153,1.308735153,0.2222,12:37:00,24.4,1,0.775143678,13:27:00,26.5,0,0.775,3.57,4.21,48.6,50.8,46.5,48.63333333,2.15019379,0.191,0.232,0.205,0.209333333,0.020840665,0.311,0.316,NA,45.127,N,NA,NA,NA,NA,NA,NA,0.133333333
PA2,Seedling,Bottom,MS,432,-12.63894444,-71.27441667,20/08/2015,29,839,22.5,22.5,22.6,22.53333333,0.057735,20,23.3,9.4,17.56666667,7.262460556,18,0,15,150,0.742,64.86179316,0.064861793,0.049466667,12:24:00,24.6,6,0.751247327,13:03:00,26.1,0,0.714884696,7,3.27,26.2,24.5,24.4,25.03333333,1.011599394,0.133,0.128,0.121,0.127333333,0.006027714,NA,0.014,NA,1.615,Y,6,73,79,2,10.29714286,1.012716738,1.2
PA2,Seedling,Bottom,MS,419,-12.63872222,-71.27505556,20/08/2015,29,839,22.1,22.3,22.3,22.23333333,0.11547,26.7,23.6,31.9,27.4,4.194043395,12,0,11,110,0.627,33.9639074,0.033963907,0.057,09:53:00,24,6,0.723972603,0.43125,26.5,0,0.846527778,5.69,3.41,29.1,28.4,29,28.83333333,0.37859389,0.164,0.172,0.174,0.17,0.005291503,NA,0.02,NA,14.213,Y,6,48,54,2,10.49274177,1.020888985,1.090909091
VC1,Seedling,Top,ID,408,-12.8685,-71.40577778,17/08/2015,26,840,22.5,22.5,22.3,22.43333333,0.11547,33,33.8,24.5,30.43333333,5.153962877,1,0,11,110,2.376,487.7254736,0.487725474,0.216,12:29:00,24.2,0,0.772336201,13:20:00,27,0,0.795759717,3.54,4.26,45.9,44.6,44.5,45,0.781024968,0.186,0.222,0.209,0.205666667,0.018230012,0.475,0.383,NA,44.93,Y,0,80,80,4,8.913453,0.950045979,0.090909091
PA2,Seedling,Bottom,MS,431,-12.63933333,-71.27366667,20/08/2015,29,841,22,22.1,22.2,22.1,0.1,37.7,19.7,25.8,27.73333333,9.154416056,21,0,28,280,0.943,195.5560688,0.195556069,0.033678571,10:06:00,23.7,20,0.693370166,10:44:00,26.7,0,0.736318408,7.58,3.07,30.5,28.8,29.8,29.7,0.854400375,0.122,0.126,0.127,0.125,0.002645751,0.04,NA,NA,2.115,Y,2,43,45,4,14.78202945,1.169734063,0.75
PA2,Seedling,Bottom,MS,433,-12.63908333,-71.27388889,20/08/2015,29,842,22.2,22.1,22.2,22.16666667,0.057735,26,7.1,26.2,19.76666667,10.97011091,10,0,15,150,0.834,81.94326074,0.081943261,0.0556,12:30:00,24.5,8,0.708751793,13:06:00,25.7,0,0.789699571,6.25,3.61,30.4,28.4,29,29.26666667,1.026320288,0.175,0.114,0.115,0.134666667,0.03493327,0.017,NA,NA,6.837,Y,0,58,58,4,20.0281306,1.301640415,0.666666667
VC1,Seedling,Top,ID,407,-12.86847222,-71.40588889,17/08/2015,26,843,22.2,22.6,22.6,22.46666667,0.23094,39.1,43.5,32.7,38.43333333,5.430776495,1,0,19,190,1.855,513.4891959,0.513489196,0.097631579,12:28:00,24.8,0,0.748831776,13:09:00,26.1,0,0.760277939,2.33,4.46,35.3,38.6,38.3,37.4,1.824828759,0.121,0.173,0.201,0.165,0.040595566,0.427,0.383,NA,58.021,Y,3,45,48,4,21.13723086,1.325048091,0.052631579
VC1,Seedling,Top,ID,406,-12.86847222,-71.40591667,17/08/2015,26,843,22.8,22.6,22.8,22.73333333,0.11547,26.5,38.4,37.1,34,6.527633568,1,0,10,100,3.033,722.4947606,0.722494761,0.3033,12:27:00,24.5,0,0.770712909,13:09:00,25.7,0,0.795366795,3.94,3.81,46.2,46.1,49.2,47.16666667,1.761628035,0.186,0.187,0.181,0.184666667,0.00321455,0.648,0.563,NA,59.702,N,NA,NA,NA,NA,NA,NA,0.1
PA2,Seedling,Bottom,MS,426,-12.6385,-71.27511111,20/08/2015,29,848,21.9,22.1,22.1,22.03333333,0.11547,17.2,15.6,15.7,16.16666667,0.896288644,10,0,25,250,1.104,239.313962,0.239313962,0.04416,09:54:00,23.7,4,0.742782152,10:22:00,26.2,0,0.746019712,4.44,3.78,35,34,34.9,34.63333333,0.550757055,0.114,0.119,0.121,0.118,0.003605551,NA,0.025,NA,6.642,Y,4,58,62,4,32.61741912,1.513449594,0.4
PA2,Seedling,Bottom,MS,429,-12.6385,-71.27511111,20/08/2015,29,848,21.9,22.1,22.1,22.03333333,0.11547,17.2,15.6,15.7,16.16666667,0.896288644,26,0,20,200,1.849,537.0240053,0.537024005,0.09245,10:04:00,24,8,0.731303772,10:40:00,25.6,0,0.730213352,4,4.32,36.2,37.5,36,36.56666667,0.814452782,0.131,0.127,0.125,0.127666667,0.00305505,0.071,NA,NA,59.426,N,NA,NA,NA,NA,NA,NA,1.3
VC1,Seedling,Top,ID,417,-12.86838889,-71.40594444,17/08/2015,26,851,22.9,22.8,22.3,22.66666667,0.321455,45.4,39,45.4,43.26666667,3.695041723,3,0,15,150,2.562,773.2846534,0.773284653,0.1708,12:40:00,25.2,1,0.752985075,13:30:00,27.7,0,0.496173469,4.96,3.52,41.3,39.8,36,39.03333333,2.731910199,0.123,0.119,0.125,0.122333333,0.00305505,0.28,0.292,NA,44.903,N,NA,NA,NA,NA,NA,NA,0.2
VC1,Seedling,Top,ID,416,-12.86838889,-71.40591667,17/08/2015,26,852,22.4,22.8,22.8,22.66666667,0.23094,32.1,29,42.9,34.66666667,7.296802953,1,0,12,120,2.745,710.1593755,0.710159376,0.22875,12:39:00,25.2,3,0.769230769,13:29:00,26.1,0,0.769607843,4.21,3.81,51.7,48.3,48.3,49.43333333,1.962990915,0.23,0.181,0.252,0.221,0.036345564,0.453,0.487,NA,65.961,Y,2,41,43,2,9.966954023,0.998562455,0.083333333
VC1,Seedling,Top,ID,411,-12.86861111,-71.40580556,17/08/2015,26,858,22.4,22.5,22.8,22.56666667,0.208167,59.5,74.1,46.9,60.16666667,13.61224939,1,0,14,140,1.975,428.8961196,0.42889612,0.141071429,12:33:00,24.7,4,0.747983871,12:23:00,26.7,0,0.773840206,2.89,4.49,33.1,28.6,35.5,32.4,3.502855978,0.133,0.166,0.12,0.139666667,0.023713569,0.339,0.318,NA,44.26,N,NA,NA,NA,NA,NA,NA,0.071428571
VC1,Seedling,Top,ID,414,-12.86858333,-71.40566667,17/08/2015,26,859,23.1,22.6,22.7,22.8,0.264575,23.1,30.6,34.2,29.3,5.663038054,1,0,17,170,2.305,709.3828131,0.709382813,0.135588235,12:37:00,24.6,1,0.778694158,13:26:00,25.8,0,0.801460823,4.74,3.73,55.2,48.2,48.4,50.6,3.984971769,0.204,0.191,0.191,0.195333333,0.007505553,1.143,1.018,NA,97.146,N,NA,NA,NA,NA,NA,NA,0.058823529
VC1,Seedling,Top,ID,413,-12.86858333,-71.40566667,17/08/2015,26,859,22.7,22.5,22.3,22.5,0.2,42.9,34.3,37.9,38.36666667,4.31895049,1,0,14,140,2.525,701.0365832,0.701036583,0.180357143,12:35:00,25,2,0.753865979,13:25:00,26.6,0,0.761316872,4.6,3.63,37.9,43.9,39.6,40.46666667,3.092463958,0.175,0.187,0.171,0.177666667,0.008326664,0.852,0.952,NA,93.457,Y,7,24,31,5,35.16665485,1.546131059,0.071428571
VC1,Seedling,Top,ID,412,-12.86858333,-71.40566667,17/08/2015,26,859,22.1,22.8,22.2,22.36666667,0.378594,68.9,NA,NA,68.9,NA,1,0,10,100,2.051,330.38567,0.33038567,0.2051,13:34:00,25,4,0.686737805,13:24:00,25.8,0,0.76934201,3.08,4.17,29.1,29.3,31.8,30.06666667,1.50443788,0.128,0.154,0.201,0.161,0.037,0.478,0.338,NA,57.424,Y,0,42,42,2,5.290448343,0.723492478,0.1
VC1,Seedling,Top,ID,404,-12.86836111,-71.406,17/08/2015,26,860,22.4,22.5,22.5,22.46666667,0.057735,33.1,30.7,27.6,30.46666667,2.757414248,2,0,33,330,2.707,1899.242118,1.899242118,0.082030303,12:24:00,24.8,4,0.770408163,13:03:00,25.4,0,0.774215097,5.8,3.21,50.4,44.6,51.9,48.96666667,3.855299383,0.182,0.262,0.263,0.235666667,0.046479386,1.035,1.06,NA,141.877,Y,1,61,62,3,8.935417579,0.951114853,0.060606061
VC1,Seedling,Top,ID,409,-12.86855556,-71.40580556,17/08/2015,26,861,22.5,22.5,22.6,22.53333333,0.057735,30.4,31.2,32.7,31.43333333,1.167618659,2,0,12,120,2.35,520.4833629,0.520483363,0.195833333,12:30:00,24.5,1,0.781424581,13:21:00,27.7,0,0.765264586,2.82,4.39,41.3,38.6,38.5,39.46666667,1.588500341,0.204,0.188,0.163,0.185,0.020663978,0.383,0.284,NA,48.241,Y,3,26,29,3,31.2226608,1.494469911,0.166666667
VC1,Seedling,Top,ID,410,-12.86855556,-71.40580556,17/08/2015,26,861,22.2,22.3,22.3,22.26666667,0.057735,26.9,46.2,51.2,41.43333333,12.83212115,3,0,6,60,3.552,594.548169,0.594548169,0.592,12:31:00,25,1,0.711286089,13:22:00,26.4,0,0.730501931,4.05,3.77,53,52.1,51.8,52.3,0.6244998,0.124,0.138,0.15,0.137333333,0.013012814,1.055,1.253,NA,180.107,Y,1,37,38,6,28.06999719,1.448242369,0.5
VC1,Seedling,Top,ID,405,-12.86852778,-71.40575,17/08/2015,26,914,22.4,22.5,22.4,22.43333333,0.057735,39.8,26.6,19,28.46666667,10.52489113,3,0,27,270,1.95,806.3486594,0.806348659,0.072222222,12:26:00,25.9,0,0.774853801,13:08:00,26.4,0,0.751506024,4.78,3.52,49.4,42.8,48.4,46.86666667,3.557152419,0.132,0.201,0.13,0.154333333,0.040426889,0.527,0.616,NA,79.464,Y,1,63,64,4,18.47885555,1.266675071,0.111111111
VC1,Seedling,Top,ID,403,-12.86833333,-71.40622222,17/08/2015,26,927,22.3,22.3,22.3,22.3,0,48.7,40,48.9,45.86666667,5.081666393,3,0,19,190,2.813,1180.817951,1.180817951,0.148052632,12:22:00,25,4,0.754690757,13:00:00,27,0,0.757597173,6.47,3.27,62.7,66.8,62.6,64.03333333,2.396525262,0.193,0.21,0.223,0.208666667,0.015044379,0.855,0.749,NA,77.025,Y,0,32,32,6,41.79413087,1.621115298,0.157894737
SP1,Seedling,Middle,MS,402,-13.05008333,-71.53536111,11/08/2015,20,1446,18.9,18.7,18.7,18.76666667,0.11547,18.1,30.8,19.2,22.7,7.036334273,14,0,24,240,1.495,421.2922872,0.421292287,0.062291667,14:45:00,19.4,3,0.852877307,15:38:00,21.7,0,0.763075314,6.61,3.15,25.6,43.2,36.9,35.23333333,8.917585622,0.117,0.112,0.116,0.115,0.002645751,NA,0.102,NA,11.581,Y,63,76,139,1,4.262295082,0.629643513,0.583333333
SP1,Seedling,Middle,MS,401,-13.04986111,-71.53558333,11/08/2015,20,1449,18.3,18.3,18.5,18.36666667,0.11547,20.3,29.5,80.3,43.36666667,32.31428992,14,0,20,200,1.496,351.5467312,0.351546731,0.0748,08:38:00,17,8,0.731747788,09:01:00,18.2,0,0.769119071,6.61,3.15,37.9,36.3,38.1,37.43333333,0.986576572,0.251,0.243,0.251,0.248333333,0.004618802,NA,0.075,NA,11.081,N,NA,NA,NA,NA,NA,NA,0.7
SP1,Seedling,Middle,MS,400,-13.04986111,-71.53558333,11/08/2015,20,1449,18.3,18.3,18.5,18.36666667,0.11547,20.3,29.5,80.3,43.36666667,32.31428992,11,0,16,160,1.484,276.7436508,0.276743651,0.09275,08:36:00,17.3,11,0.533377396,09:00:00,18.3,0,0.739577039,6.61,3.15,18.5,18.2,19.1,18.6,0.458257569,0.244,0.247,0.241,0.244,0.003,NA,0.086,NA,10.666,Y,2,12,55,6,32.49182751,1.511774139,0.6875
SP1,Seedling,Middle,MS,399,-13.04986111,-71.53555556,11/08/2015,20,1449,18,18.3,18.3,18.2,0.173205,20.8,35.5,20.3,25.53333333,8.635006273,11,0,14,140,1.359,203.0751724,0.203075172,0.097071429,08:35:00,17.1,5,0.747051887,08:57:00,18.1,0,0.780042164,6.01,4.21,39.8,40.2,41.9,40.63333333,1.115048579,0.223,0.233,0.225,0.227,0.005291503,0.047,NA,NA,8.15,N,NA,NA,NA,NA,NA,NA,0.785714286
SP1,Seedling,Middle,MS,398,-13.04986111,-71.53555556,11/08/2015,20,1451,18.4,18.5,18.6,18.5,0.1,20.3,34.5,28.7,27.83333333,7.139561144,8,1,10,100,0.763,45.72344634,0.045723446,0.0763,14:18:00,20.2,1,0.751196172,15:32:00,19.8,0,0.846153846,6.71,3.1,NA,37.3,36.1,36.7,0.848528137,0.144,0.142,0.145,0.143666667,0.001527525,NA,0.104,NA,10.911,Y,0,89,89,6,26.05969402,1.415969312,0.8
SP1,Seedling,Middle,MS,394,-13.04983333,-71.53605556,11/08/2015,20,1455,17.8,17.8,17.8,17.8,0,80.6,76.7,68.1,75.13333333,6.395571384,12,0,10,100,1.042,85.27570515,0.085275705,0.1042,08:22:00,17.3,2,0.74813111,08:47:00,17.5,0,0.692583732,5.15,3.73,35.6,38.9,36.9,37.13333333,1.662327685,0.287,0.207,0.212,0.235333333,0.044814432,0.014,NA,NA,2.44,N,NA,NA,NA,NA,NA,NA,1.2
SP1,Seedling,Middle,MS,395,-13.04983333,-71.53605556,11/08/2015,20,1455,17.2,17.5,17.7,17.46666667,0.251661,19.5,45.8,23.2,29.5,14.23692383,7,0,8,80,0.93,54.34326972,0.05434327,0.11625,08:25:00,16.8,2,0.773930754,08:50:00,17.5,0,0.758600917,5.43,3.71,31,31.1,29.6,30.56666667,0.838649708,0.307,0.215,0.28,0.267333333,0.047289886,NA,0.011,0.001,1.623,N,NA,NA,NA,NA,NA,NA,0.875
SP1,Seedling,Middle,MS,396,-13.04986111,-71.53602778,11/08/2015,20,1456,18.3,18.3,18.3,18.3,0,22.9,26,28.3,25.73333333,2.709858545,12,0,15,150,0.864,87.94448811,0.087944488,0.0576,13:45:00,20.6,3,0.755703951,15:08:00,20.7,0,0.776249427,4.32,3.55,37.5,39.8,39.3,38.86666667,1.209683154,0.098,0.115,0.183,0.132,0.044977772,0.008,NA,NA,1.237,Y,4,41,45,5,29.08526441,1.463673016,0.8
SP1,Seedling,Middle,MS,378,-13.04983333,-71.53594444,11/08/2015,20,1456,17.7,17.9,18.1,17.9,0.2,47.4,42.7,48.1,46.06666667,2.936551265,9,0,7,70,0.881,42.67167967,0.04267168,0.125857143,08:29:00,16.7,2,0.537393162,08:52:00,17.5,0,0.753172867,NA,NA,33.9,36.9,37.7,36.16666667,2.00333056,0.239,0.254,0.22,0.237666667,0.017039171,0.005,NA,NA,1.115,N,NA,NA,NA,NA,NA,NA,1.285714286
SP1,Seedling,Middle,MS,377,-13.05008333,-71.53533333,11/08/2015,20,1457,18.5,18.7,18.7,18.63333333,0.11547,13,20.5,14,15.83333333,4.072263908,15,0,21,210,1.528,385.0843638,0.385084364,0.072761905,14:32:00,19.9,6,0.71024335,15:35:00,20.6,0,0.736102984,6.01,4.21,25.8,37.8,38.7,34.1,7.202083032,0.097,0.108,0.077,0.094,0.015716234,0.008,NA,0.005,1.298,Y,37,75,112,3,14.09723645,1.149133984,0.714285714
SP1,Seedling,Middle,MS,397,-13.04980556,-71.53594444,11/08/2015,20,1458,17.6,17.9,17.9,17.8,0.173205,81.8,74.5,35.3,63.86666667,25.00726561,12,0,15,150,1.065,133.6227348,0.133622735,0.071,14:05:00,20,5,0.747402952,15:14:00,21.3,0,0.761261261,6.49,3,34.9,36.8,36.5,36.06666667,1.021436896,0.117,0.131,0.118,0.122,0.00781025,0.037,0.01,NA,4.389,Y,2,98,100,3,25.86363636,1.412689586,0.8
SP1,Seedling,Middle,MS,375,-13.04983333,-71.53594444,11/08/2015,20,1461,18.3,18.1,18,18.13333333,0.152753,22.6,27.8,21.2,23.86666667,3.477547028,10,2,12,120,0.955,85.9563312,0.085956331,0.079583333,13:26:00,NA,NA,NA,NA,NA,NA,NA,5.39,3.51,37.9,38.4,36,37.43333333,1.266227994,0.092,0.103,0.109,0.101333333,0.008621678,0.006,NA,0.001,1.051,N,NA,NA,NA,NA,NA,NA,0.833333333
SP1,Seedling,Middle,MS,376,-13.04983333,-71.53594444,11/08/2015,20,1461,18.3,18.1,18,18.13333333,0.152753,13,27.8,21.2,20.66666667,7.414400403,9,1,11,110,0.877,66.44797544,0.066447975,0.079727273,13:31:00,20.5,1,0.750977108,15:04:00,20.6,0,0.673306773,5.39,3.51,28.6,33.9,35,32.5,3.421987726,0.088,0.096,0.137,0.107,0.026286879,NA,0.005,NA,1.287,Y,13,54,67,5,44.05457839,1.643991049,0.818181818
SP1,Seedling,Middle,MS,380,-13.04983333,-71.53597222,11/08/2015,20,1464,18.8,18.1,18.2,18.36666667,0.378594,36.4,16.2,35.4,29.33333333,11.38478517,13,2,12,120,0.935,82.39376513,0.082393765,0.077916667,13:21:00,21.5,5,0.752254642,15:00:00,20.4,0,0.784798535,4.69,3.61,44.1,44.4,42,43.5,1.307669683,0.105,0.11,0.105,0.106666667,0.002886751,0.005,NA,NA,1.852,N,NA,NA,NA,NA,NA,NA,1.083333333
SP1,Seedling,Middle,MS,379,-13.04980556,-71.53588889,11/08/2015,20,1464,18.3,18.3,18.1,18.23333333,0.11547,19.8,40,22.2,27.33333333,11.03509553,12,0,12,120,0.97,88.67773583,0.088677736,0.080833333,13:56:00,20.4,1,0.840909091,15:11:00,20.7,0,0.748896518,5.17,3.43,23.6,23.9,24.5,24,0.458257569,0.138,0.121,0.116,0.125,0.011532563,NA,0.036,NA,3.791,Y,8,48,56,4,13.18162504,1.119968954,1
SP1,Seedling,Bottom,TG,346,-13.04875,-71.53713889,11/08/2015,20,1503,17.8,17.5,17.8,17.7,0.173205,22.9,19.8,17.6,20.1,2.662705391,3,0,20,200,1.2,226.1946711,0.226194671,0.06,11:08:00,18.1,4,0.747498529,12:29:00,19,0,0.76284153,4.8,4.07,38.1,42,35.9,38.66666667,3.089228598,0.135,0.124,0.104,0.121,0.015716234,0.046,NA,0.018,5.299,N,NA,NA,NA,NA,NA,NA,0.15
SP1,Seedling,Bottom,TG,345,-13.04875,-71.53713889,11/08/2015,20,1503,17.9,17.8,17.8,17.83333333,0.057735,21.9,40.4,47.2,36.5,13.09312797,3,0,16,160,1.227,189.1903538,0.189190354,0.0766875,10:56:00,18.2,1,0.757101449,12:25:00,19.7,0,0.819078947,5.21,3.5,38.4,38.7,36.3,37.8,1.307669683,0.113,0.128,0.111,0.117333333,0.009291573,0.033,0.043,0.008,10.721,Y,25,30,55,5,37.71532639,1.576517871,0.1875
SP1,Seedling,Bottom,TG,347,-13.04869444,-71.53713889,11/08/2015,20,1504,17.8,17.6,17.8,17.73333333,0.11547,26,24.2,35.1,28.43333333,5.843229701,4,0,25,250,1.349,357.3170908,0.357317091,0.05396,11:13:00,18.4,4,0.7578125,12:31:00,19.2,0,0.744561404,5.42,3.59,37.6,38,42.1,39.23333333,2.490649179,0.155,0.148,0.13,0.144333333,0.012897028,0.07,0.049,0.024,12.915,N,NA,NA,NA,NA,NA,NA,0.16
SP1,Seedling,Bottom,TG,348,-13.04869444,-71.53713889,11/08/2015,20,1504,17.7,17.7,17.6,17.66666667,0.057735,33.3,19,37.2,29.83333333,9.582449235,4,0,20,200,1.249,245.0443841,0.245044384,0.06245,11:15:00,18,11,0.73989899,12:32:00,19.8,0,0.750609756,5.9,3.37,33,35,34.2,34.06666667,1.006644591,0.138,0.128,0.11,0.125333333,0.014189198,0.073,NA,0.03,7.202,N,NA,NA,NA,NA,NA,NA,0.2
